Plab [MeV]	dPlab [MeV]	sigma [mb]	dsigma [mb]	Ref
225	5	16.84	4.72	Mast:1975pv
235	5	11.75	2.26	Mast:1975pv
245	5	12.25	1.67	Mast:1975pv
255	5	9.11	1.01	Mast:1975pv
265	5	8.85	0.85	Mast:1975pv
275	5	9.97	0.86	Mast:1975pv
285	5	6.79	0.59	Mast:1975pv
295	5	7.6	0.66	Mast:1975pv
305	5	7.32	0.65	Mast:1975pv
315	5	6.73	0.59	Mast:1975pv
325	5	8.13	0.65	Mast:1975pv
335	5	7.35	0.53	Mast:1975pv
345	5	6.67	0.52	Mast:1975pv
355	5	7.16	0.34	Mast:1975pv
365	5	7.69	0.24	Mast:1975pv
375	5	10.49	0.25	Mast:1975pv
385	5	12.95	0.25	Mast:1975pv
395	5	12.45	0.27	Mast:1975pv
405	5	10.45	0.28	Mast:1975pv
415	5	8.21	0.29	Mast:1975pv
425	5	7.37	0.38	Mast:1975pv
435	5	6.77	0.46	Mast:1975pv
445	5	5.72	0.5	Mast:1975pv
455	5	4.83	0.58	Mast:1975pv
465	5	5.24	1.15	Mast:1975pv
110	20	47	8	Ciborowski:1982et
150	20	25	4	Ciborowski:1982et
190	20	17	2	Ciborowski:1982et
230	20	16	2	Ciborowski:1982et
270	20	7	2	Ciborowski:1982et
110	20	29.2	6.2	 Evans:1983hz
140	10	33.4	5.3	 Evans:1983hz
160	10	17.6	2.6	 Evans:1983hz
180	10	17.9	2	 Evans:1983hz
200	10	15.8	1.5	 Evans:1983hz
220	10	12.2	1.4	 Evans:1983hz
240	10	10.4	1.2	 Evans:1983hz
260	10	9.4	1.6	 Evans:1983hz
280	10	11.4	2.7	 Evans:1983hz
107.0	18.0	28.4	22	Humphrey:1962zz
137.5	12.5	19	14	Humphrey:1962zz
162.5	12.5	20.4	11	Humphrey:1962zz
187.5	12.5	13.2	7	Humphrey:1962zz
212.5	12.5	13.8	6	Humphrey:1962zz
237.5	12.5	19.4	9	Humphrey:1962zz
293	42	8	1.2	Watson:1963zz
350	31	5.1	1.1	Watson:1963zz
387	30	8.1	1	Watson:1963zz
392	30	10	1	Watson:1963zz
390	30	8.8	0.7	Watson:1963zz
434	26	6	1.2	Watson:1963zz
513	20	3.6	0.6	Watson:1963zz
110	10	22.8	3.3	Kim:1967zze
130	10	20.1	4.1	Kim:1967zze
150	10	14.3	2.9	Kim:1967zze
170	10	11.7	2.4	Kim:1967zze
190	10	15.4	2.4	Kim:1967zze
210	10	11.4	2.1	Kim:1967zze
230	10	6.8	1.5	Kim:1967zze
250	10	7.8	2.4	Kim:1967zze
270	10	7.9	3.5	Kim:1967zze
100	0	19.83	3.48	Kittel:1966zz
137.5	0	18.88	2.53	Kittel:1966zz
162.5	0	15.73	1.43	Kittel:1966zz
187.5	0	12.58	1.35	Kittel:1966zz
225	0	8.17	1.58	Kittel:1966zz
262	0	5.41	1.58	Kittel:1966zz
300	0	5.59	1.06	Kittel:1966zz
119.9	30.1	23.9	5.5	Abrams:1965zz
175	25	13.8	2.6	Abrams:1965zz
225	25	10.7	2.1	Abrams:1965zz
