Plab [MeV]	dPlab [MeV]	sigma [mb]	dsigma [mb]	Ref
110	10	87.29	10.23	Sakitt:1965kh
130	10	79.22	7.63	Sakitt:1965kh
150	10	69.61	6.01	Sakitt:1965kh
170	10	75.76	5.36	Sakitt:1965kh
190	10	59.09	4.2	Sakitt:1965kh
210	10	60.49	4.1	Sakitt:1965kh
230	10	55.69	4.03	Sakitt:1965kh
250	10	51.5	4.22	Sakitt:1965kh
270	10	58.06	5.19	Sakitt:1965kh
290	10	38.27	5.67	Sakitt:1965kh
62.5	12.5	113	42	Csejthey-Barth:1965izu
87.5	12.5	92	25	Csejthey-Barth:1965izu
112.5	12.5	82	19	Csejthey-Barth:1965izu
137.5	12.5	82	17	Csejthey-Barth:1965izu
162.5	12.5	98	20	Csejthey-Barth:1965izu
187.5	12.5	73	28	Csejthey-Barth:1965izu
225	5	65.41	10.3	Mast:1975pv
235	5	55.74	5.34	Mast:1975pv
245	5	53.24	3.76	Mast:1975pv
255	5	49.22	2.7	Mast:1975pv
265	5	47.71	2.27	Mast:1975pv
275	5	48.75	2.2	Mast:1975pv
285	5	39.42	1.63	Mast:1975pv
295	5	41.22	1.86	Mast:1975pv
305	5	40.36	2.02	Mast:1975pv
315	5	37.02	1.93	Mast:1975pv
325	5	40.28	2.06	Mast:1975pv
335	5	37.84	1.83	Mast:1975pv
345	5	37.26	1.95	Mast:1975pv
355	5	34.77	1.79	Mast:1975pv
365	5	34.21	1.71	Mast:1975pv
375	5	36.67	1.83	Mast:1975pv
385	5	33.89	1.37	Mast:1975pv
395	5	38.47	1.57	Mast:1975pv
405	5	32.06	1.39	Mast:1975pv
415	5	32.59	1.67	Mast:1975pv
425	5	31.19	1.97	Mast:1975pv
435	5	26.83	1.79	Mast:1975pv
445	5	28.83	2.21	Mast:1975pv
455	5	30.32	3.16	Mast:1975pv
465	5	31.99	5.92	Mast:1975pv
160	10	88	8	Ciborowski:1982et
180	10	72	6	Ciborowski:1982et
200	10	54	4	Ciborowski:1982et
220	10	55	4	Ciborowski:1982et
240	10	53	5	Ciborowski:1982et
260	10	48	6	Ciborowski:1982et
280	10	39	9	Ciborowski:1982et
293	42	48.2	4.2	Watson:1963zz
350	31	34	3.2	Watson:1963zz
387	30	31.9	2.5	Watson:1963zz
392	30	34	3	Watson:1963zz
390	30	32.7	1.8	Watson:1963zz
434	26	30.6	3.4	Watson:1963zz
513	20	26.5	3.3	Watson:1963zz
112.5	12.5	139.6	24	Humphrey:1962zz
137.5	12.5	90	15	Humphrey:1962zz
162.5	12.5	101.3	13	Humphrey:1962zz
187.5	12.5	71.3	9	Humphrey:1962zz
212.5	12.5	47.4	6	Humphrey:1962zz
237.5	12.5	39.2	7	Humphrey:1962zz
262.5	12.5	44.2	16	Humphrey:1962zz
110	10	90.1	7	Kim:1967zze
130	10	84.6	6.1	Kim:1967zze
150	10	80.6	5.9	Kim:1967zze
170	10	81.3	5.6	Kim:1967zze
190	10	65.1	5.4	Kim:1967zze
210	10	65.9	5.4	Kim:1967zze
230	10	52.2	4.8	Kim:1967zze
250	10	60	9.3	Kim:1967zze
270	10	46.9	8.3	Kim:1967zze
