Plab [MeV]	dPlab [MeV]	sigma [mb]	dsigma [mb]	Ref
245	5	10.23	1.06	Mast:1974sx
255	5	8.82	0.74	Mast:1974sx
265	5	7.77	0.58	Mast:1974sx
275	5	8.04	0.56	Mast:1974sx
285	5	5.56	0.4	Mast:1974sx
295	5	6.69	0.47	Mast:1974sx
305	5	6.35	0.45	Mast:1974sx
315	5	5.29	0.4	Mast:1974sx
325	5	5.41	0.37	Mast:1974sx
335	5	5.22	0.34	Mast:1974sx
345	5	4.78	0.33	Mast:1974sx
355	5	4.86	0.21	Mast:1974sx
365	5	4.21	0.13	Mast:1974sx
375	5	4.29	0.11	Mast:1974sx
385	5	4.2	0.1	Mast:1974sx
395	5	3.96	0.11	Mast:1974sx
405	5	3.9	0.12	Mast:1974sx
415	5	3.87	0.14	Mast:1974sx
425	5	4.05	0.2	Mast:1974sx
435	5	3.49	0.26	Mast:1974sx
445	5	3.45	0.31	Mast:1974sx
293	42	5.2	9.9	Watson:1963zz
350	31	4.5	1	Watson:1963zz
387	30	2.9	0.5	Watson:1963zz
392	30	3.3	0.6	Watson:1963zz
390	30	3.1	0.3	Watson:1963zz
434	26	3.2	0.7	Watson:1963zz
513	20	1.6	0.4	Watson:1963zz
120 0.0 22. 9.  Kim1966columbia
160 0.0 14. 5.  Kim1966columbia
200 0.0 9.  2.  Kim1966columbia
