Plab [MeV]	dPlab [MeV]	sigma [mb]	dsigma [mb]	Ref
70	10	113.5	30.29	Sakitt:1965kh
90	10	80	18.65	Sakitt:1965kh
110	10	60.41	12.29	Sakitt:1965kh
130	10	41.97	8.04	Sakitt:1965kh
150	10	29.14	5.64	Sakitt:1965kh
170	10	16.64	3.7	Sakitt:1965kh
190	10	14.6	2.96	Sakitt:1965kh
210	10	15.35	2.84	Sakitt:1965kh
230	10	7.83	2.27	Sakitt:1965kh
250	10	12.68	2.83	Sakitt:1965kh
270	10	9.4	3.02	Sakitt:1965kh
290	10	16.17	5.07	Sakitt:1965kh
70	10	160	15.3	Kim:1965zzd
90	10	99	9.3	Kim:1965zzd
110	10	61.8	6.3	Kim:1965zzd
130	10	48.4	4.8	Kim:1965zzd
150	10	40.2	4.5	Kim:1965zzd
170	10	28.3	4.1	Kim:1965zzd
190	10	19.3	4.5	Kim:1965zzd
210	10	15.6	3.3	Kim:1965zzd
230	10	13.4	3.3	Kim:1965zzd
250	10	17.9	3.7	Kim:1965zzd
270	10	9.4	1.9	Kim:1965zzd
225	5	8.73	3.26	Bangerter:1980px
235	5	13.01	2.26	Bangerter:1980px
245	5	14.8	1.63	Bangerter:1980px
255	5	10.47	0.91	Bangerter:1980px
265	5	10.16	0.74	Bangerter:1980px
275	5	9.94	0.66	Bangerter:1980px
285	5	7.42	0.46	Bangerter:1980px
295	5	8.73	0.55	Bangerter:1980px
305	5	7.89	0.51	Bangerter:1980px
315	5	6.41	0.42	Bangerter:1980px
325	5	6.45	0.42	Bangerter:1980px
335	5	6.38	0.37	Bangerter:1980px
345	5	6.1	0.35	Bangerter:1980px
355	5	6.14	0.23	Bangerter:1980px
365	5	6.59	0.16	Bangerter:1980px
375	5	7.89	0.15	Bangerter:1980px
385	5	9.32	0.15	Bangerter:1980px
395	5	8.95	0.16	Bangerter:1980px
405	5	7.63	0.17	Bangerter:1980px
415	5	6.12	0.17	Bangerter:1980px
425	5	5.75	0.23	Bangerter:1980px
435	5	4.53	0.26	Bangerter:1980px
445	5	4.56	0.32	Bangerter:1980px
455	5	3.83	0.35	Bangerter:1980px
465	5	4.26	1.09	Bangerter:1980px
100	10	68	8	Ciborowski:1982et
120	10	60	6	Ciborowski:1982et
140	10	46	4	Ciborowski:1982et
160	10	31	3	Ciborowski:1982et
180	10	24	2	Ciborowski:1982et
200	10	20	2	Ciborowski:1982et
220	10	13	1	Ciborowski:1982et
240	10	12	1	Ciborowski:1982et
260	10	10	1	Ciborowski:1982et
280	10	9	2	Ciborowski:1982et
62.5	12.5	217.5	97	Humphrey:1962zz
87.5	12.5	110.3	42	Humphrey:1962zz
112.5	12.5	42	20	Humphrey:1962zz
137.5	12.5	48.3	15	Humphrey:1962zz
162.5	12.5	10.7	7	Humphrey:1962zz
187.5	12.5	35.7	8	Humphrey:1962zz
212.5	12.5	15.8	6	Humphrey:1962zz
237.5	12.5	10.4	6	Humphrey:1962zz
262.5	12.5	17.3	12	Humphrey:1962zz
293	42	10	1.1	Watson:1963zz
350	31	6.9	1	Watson:1963zz
387	30	6	0.6	Watson:1963zz
392	30	8.3	0.9	Watson:1963zz
390	30	6.9	0.5	Watson:1963zz
434	26	6.1	0.7	Watson:1963zz
513	20	4.9	0.8	Watson:1963zz
