Plab [MeV]	dPlab [MeV]	sigma [mb]	dsigma [mb]	Ref
245	5	8.18	0.92	Mast:1974sx
255	5	7.68	0.68	Mast:1974sx
265	5	6.11	0.5	Mast:1974sx
275	5	6.73	0.5	Mast:1974sx
285	5	5.61	0.4	Mast:1974sx
295	5	5.78	0.43	Mast:1974sx
305	5	5.49	0.41	Mast:1974sx
315	5	4.37	0.36	Mast:1974sx
325	5	4.48	0.33	Mast:1974sx
335	5	4.11	0.3	Mast:1974sx
345	5	4.77	0.33	Mast:1974sx
355	5	4.15	0.19	Mast:1974sx
365	5	4.86	0.15	Mast:1974sx
375	5	6.45	0.15	Mast:1974sx
385	5	8.3	0.15	Mast:1974sx
395	5	8.1	0.16	Mast:1974sx
405	5	6.72	0.17	Mast:1974sx
415	5	5.93	0.18	Mast:1974sx
425	5	5.17	0.22	Mast:1974sx
435	5	2.97	0.24	Mast:1974sx
445	5	3.26	0.3	Mast:1974sx
293	42	5.2	0.9	Watson:1963zz
350	31	6.3	1.4	Watson:1963zz
387	30	6.9	0.9	Watson:1963zz
392	30	6.4	1	Watson:1963zz
390	30	6.7	0.6	Watson:1963zz
434	26	4.9	1.3	Watson:1963zz
513	20	1.7	0.3	Watson:1963zz
120 0.0 20. 9.  Kim1966columbia
160 0.0 15. 6.  Kim1966columbia
200 0.0 10. 3.  Kim1966columbia
