Plab [MeV]	dPlab [MeV]	sigma [mb]	dsigma [mb]	Ref
70	10	51.93	20.74	Sakitt:1965kh
90	10	23.58	12.9	Sakitt:1965kh
110	10	33.87	10.55	Sakitt:1965kh
130	10	28.07	6.93	Sakitt:1965kh
150	10	17.13	4.56	Sakitt:1965kh
170	10	13.66	3.44	Sakitt:1965kh
190	10	17.05	3.44	Sakitt:1965kh
210	10	17.01	3.45	Sakitt:1965kh
230	10	10.71	2.76	Sakitt:1965kh
250	10	11.86	3.1	Sakitt:1965kh
270	10	8.73	3.11	Sakitt:1965kh
290	10	5.88	3.74	Sakitt:1965kh
90	10	33.7	4.7	Kim:1965zzd
110	10	33.9	3.8	Kim:1965zzd
130	10	28.2	2.7	Kim:1965zzd
150	10	22.4	2	Kim:1965zzd
170	10	20.2	2	Kim:1965zzd
190	10	17.6	1.7	Kim:1965zzd
210	10	17.6	1.8	Kim:1965zzd
230	10	16	1.7	Kim:1965zzd
250	10	16.4	2.7	Kim:1965zzd
270	10	15.5	3.5	Kim:1965zzd
225	5	13.49	4.24	Bangerter:1980px
235	5	15.05	2.18	Bangerter:1980px
245	5	15.03	1.49	Bangerter:1980px
255	5	12.36	1.01	Bangerter:1980px
265	5	13.44	0.86	Bangerter:1980px
275	5	13.23	0.81	Bangerter:1980px
285	5	10.2	0.61	Bangerter:1980px
295	5	12.46	0.72	Bangerter:1980px
305	5	11.16	0.63	Bangerter:1980px
315	5	10.73	0.6	Bangerter:1980px
325	5	10.64	0.58	Bangerter:1980px
335	5	9.85	0.55	Bangerter:1980px
345	5	10.93	0.53	Bangerter:1980px
355	5	10.55	0.34	Bangerter:1980px
365	5	10.37	0.25	Bangerter:1980px
375	5	12.44	0.23	Bangerter:1980px
385	5	13.85	0.22	Bangerter:1980px
395	5	13.38	0.22	Bangerter:1980px
405	5	10.76	0.23	Bangerter:1980px
415	5	10.16	0.24	Bangerter:1980px
425	5	10.12	0.3	Bangerter:1980px
435	5	7.58	0.36	Bangerter:1980px
445	5	6.95	0.47	Bangerter:1980px
455	5	7.68	0.55	Bangerter:1980px
465	5	11.58	2.14	Bangerter:1980px
100	10	34	5	Ciborowski:1982et
120	10	23	4	Ciborowski:1982et
140	10	26	3	Ciborowski:1982et
160	10	25	3	Ciborowski:1982et
180	10	21	2	Ciborowski:1982et
200	10	21	2	Ciborowski:1982et
220	10	16	1	Ciborowski:1982et
240	10	13	1	Ciborowski:1982et
260	10	11	1	Ciborowski:1982et
280	10	13	2	Ciborowski:1982et
87.5	12.5	27.8	28	Humphrey:1962zz
112.5	12.5	75.8	27	Humphrey:1962zz
137.5	12.5	20.8	15	Humphrey:1962zz
162.5	12.5	39.1	11	Humphrey:1962zz
187.5	12.5	20.6	8	Humphrey:1962zz
212.5	12.5	18.2	6	Humphrey:1962zz
237.5	12.5	21.3	7	Humphrey:1962zz
262.5	12.5	15.3	12	Humphrey:1962zz
293	42	13.6	1.4	Watson:1963zz
350	31	10.6	1.4	Watson:1963zz
387	30	11.4	1	Watson:1963zz
392	30	14	1.4	Watson:1963zz
390	30	12.5	0.8	Watson:1963zz
434	26	8.2	0.9	Watson:1963zz
513	20	7.5	1.1	Watson:1963zz
