Ecm,sigma,dsigma
1463.6141315224086,16.84,4.72
1466.318797876766,11.75,2.26
1469.1137178873314,12.25,1.67
1471.9961339544186,9.11,1.01
1474.963292969604,8.85,0.85
1478.0124536121643,9.97,0.86
1481.1408930673188,6.79,0.59
1484.3459131662314,7.6,0.66
1487.624845953915,7.32,0.65
1490.9750586965486,6.73,0.59
1494.3939583442811,8.13,0.65
1497.8789954693477,7.35,0.53
1501.4276677023597,6.67,0.52
1505.0375226919598,7.16,0.34
1508.7061606147365,7.69,0.24
1512.4312362634291,10.49,0.25
1516.210460742088,12.95,0.25
1520.0416027970539,12.45,0.27
1523.9224898124373,10.45,0.28
1527.851008498282,8.21,0.29
1531.825105298853,7.37,0.38
1535.8427865475098,6.77,0.46
1539.9021183935115,5.72,0.5
1544.0012265248474,4.83,0.58
1548.1382957098544,5.24,1.15
1439.86278299143,47.0,8.0
1446.4803574848515,25.0,4.0
1454.8981800886527,17.0,2.0
1464.955010678419,16.0,2.0
1476.4777937718873,7.0,2.0
1439.86278299143,29.2,6.2
1444.6513049826237,33.4,5.3
1448.4220364739085,17.6,2.6
1452.6334861743953,17.9,2.0
1457.265368740511,15.8,1.5
1462.2965045196324,12.2,1.4
1467.7051485408301,10.4,1.2
1473.4692922838783,9.4,1.6
1479.5669327693784,11.4,2.7
1439.4430904019146,28.4,22.0
1444.2119159312933,19.0,14.0
1448.9247714229443,20.4,11.0
1454.3222942423827,13.2,7.0
1460.3644126729469,13.8,6.0
1467.0091743226715,19.4,9.0
1483.6989112338804,8.0,1.2
1503.2250985991338,5.1,1.1
1516.9726061203,8.1,1.0
1518.8869392479623,10.0,1.0
1518.1196792448454,8.8,0.7
1535.4391127050774,6.0,1.2
1568.470930439054,3.6,0.6
1439.86278299143,22.8,3.3
1442.937217739201,20.1,4.1
1446.4803574848515,14.3,2.9
1450.4739144118237,11.7,2.4
1454.8981800886527,15.4,2.4
1459.7323794747608,11.4,2.1
1464.955010678419,6.8,1.5
1470.5441611766691,7.8,2.4
1476.4777937718873,7.9,3.5
1438.5065685738941,19.83,3.48
1444.2119159312933,18.88,2.53
1448.9247714229443,15.73,1.43
1454.3222942423827,12.58,1.35
1463.6141315224086,8.17,1.58
1474.0644106644997,5.41,1.58
1485.9763059002491,5.59,1.06
1441.3249648807678,23.9,5.5
1451.540397862826,13.8,2.6
1463.6141315224086,10.7,2.1
