Ecm,sigma,dsigma
1439.86278299143,87.29,10.23
1442.937217739201,79.22,7.63
1446.4803574848515,69.61,6.01
1450.4739144118237,75.76,5.36
1454.8981800886527,59.09,4.2
1459.7323794747608,60.49,4.1
1464.955010678419,55.69,4.03
1470.5441611766691,51.5,4.22
1476.4777937718873,58.06,5.19
1482.7339980530112,38.27,5.67
1434.5316689489775,113.0,42.0
1436.9847701790245,92.0,25.0
1440.22087167068,82.0,19.0
1444.2119159312933,82.0,17.0
1448.9247714229443,98.0,20.0
1454.3222942423827,73.0,28.0
1463.6141315224086,65.41,10.3
1466.318797876766,55.74,5.34
1469.1137178873314,53.24,3.76
1471.9961339544186,49.22,2.7
1474.963292969604,47.71,2.27
1478.0124536121643,48.75,2.2
1481.1408930673188,39.42,1.63
1484.3459131662314,41.22,1.86
1487.624845953915,40.36,2.02
1490.9750586965486,37.02,1.93
1494.3939583442811,40.28,2.06
1497.8789954693477,37.84,1.83
1501.4276677023597,37.26,1.95
1505.0375226919598,34.77,1.79
1508.7061606147365,34.21,1.71
1512.4312362634291,36.67,1.83
1516.210460742088,33.89,1.37
1520.0416027970539,38.47,1.57
1523.9224898124373,32.06,1.39
1527.851008498282,32.59,1.67
1531.825105298853,31.19,1.97
1535.8427865475098,26.83,1.79
1539.9021183935115,28.83,2.21
1544.0012265248474,30.32,3.16
1548.1382957098544,31.99,5.92
1448.4220364739085,88.0,8.0
1452.6334861743953,72.0,6.0
1457.265368740511,54.0,4.0
1462.2965045196324,55.0,4.0
1467.7051485408301,53.0,5.0
1473.4692922838783,48.0,6.0
1479.5669327693784,39.0,9.0
1483.6989112338804,48.2,4.2
1503.2250985991338,34.0,3.2
1516.9726061203,31.9,2.5
1518.8869392479623,34.0,3.0
1518.1196792448454,32.7,1.8
1535.4391127050774,30.6,3.4
1568.470930439054,26.5,3.3
1440.22087167068,139.6,24.0
1444.2119159312933,90.0,15.0
1448.9247714229443,101.3,13.0
1454.3222942423827,71.3,9.0
1460.3644126729469,47.4,6.0
1467.0091743226715,39.2,7.0
1474.2137087470412,44.2,16.0
1439.86278299143,90.1,7.0
1442.937217739201,84.6,6.1
1446.4803574848515,80.6,5.9
1450.4739144118237,81.3,5.6
1454.8981800886527,65.1,5.4
1459.7323794747608,65.9,5.4
1464.955010678419,52.2,4.8
1470.5441611766691,60.0,9.3
1476.4777937718873,46.9,8.3
