Ecm,sigma,dsigma
1469.1137178873314,10.23,1.06
1471.9961339544186,8.82,0.74
1474.963292969604,7.77,0.58
1478.0124536121643,8.04,0.56
1481.1408930673188,5.56,0.4
1484.3459131662314,6.69,0.47
1487.624845953915,6.35,0.45
1490.9750586965486,5.29,0.4
1494.3939583442811,5.41,0.37
1497.8789954693477,5.22,0.34
1501.4276677023597,4.78,0.33
1505.0375226919598,4.86,0.21
1508.7061606147365,4.21,0.13
1512.4312362634291,4.29,0.11
1516.210460742088,4.2,0.1
1520.0416027970539,3.96,0.11
1523.9224898124373,3.9,0.12
1527.851008498282,3.87,0.14
1531.825105298853,4.05,0.2
1535.8427865475098,3.49,0.26
1539.9021183935115,3.45,0.31
1483.6989112338804,5.2,9.9
1503.2250985991338,4.5,1.0
1516.9726061203,2.9,0.5
1518.8869392479623,3.3,0.6
1518.1196792448454,3.1,0.3
1535.4391127050774,3.2,0.7
1568.470930439054,1.6,0.4
1441.3403345349352,22.0,9.0
1448.4220364739085,14.0,5.0
1457.265368740511,9.0,2.0
