Ecm,sigma,dsigma
1469.1137178873314,8.18,0.92
1471.9961339544186,7.68,0.68
1474.963292969604,6.11,0.5
1478.0124536121643,6.73,0.5
1481.1408930673188,5.61,0.4
1484.3459131662314,5.78,0.43
1487.624845953915,5.49,0.41
1490.9750586965486,4.37,0.36
1494.3939583442811,4.48,0.33
1497.8789954693477,4.11,0.3
1501.4276677023597,4.77,0.33
1505.0375226919598,4.15,0.19
1508.7061606147365,4.86,0.15
1512.4312362634291,6.45,0.15
1516.210460742088,8.3,0.15
1520.0416027970539,8.1,0.16
1523.9224898124373,6.72,0.17
1527.851008498282,5.93,0.18
1531.825105298853,5.17,0.22
1535.8427865475098,2.97,0.24
1539.9021183935115,3.26,0.3
1483.6989112338804,5.2,0.9
1503.2250985991338,6.3,1.4
1516.9726061203,6.9,0.9
1518.8869392479623,6.4,1.0
1518.1196792448454,6.7,0.6
1535.4391127050774,4.9,1.3
1568.470930439054,1.7,0.3
1441.3403345349352,20.0,9.0
1448.4220364739085,15.0,6.0
1457.265368740511,10.0,3.0
