Ecm,sigma,dsigma
1435.1839483799815,113.5,30.29
1437.2735638789657,80.0,18.65
1439.86278299143,60.41,12.29
1442.937217739201,41.97,8.04
1446.4803574848515,29.14,5.64
1450.4739144118237,16.64,3.7
1454.8981800886527,14.6,2.96
1459.7323794747608,15.35,2.84
1464.955010678419,7.83,2.27
1470.5441611766691,12.68,2.83
1476.4777937718873,9.4,3.02
1482.7339980530112,16.17,5.07
1435.1839483799815,160.0,15.3
1437.2735638789657,99.0,9.3
1439.86278299143,61.8,6.3
1442.937217739201,48.4,4.8
1446.4803574848515,40.2,4.5
1450.4739144118237,28.3,4.1
1454.8981800886527,19.3,4.5
1459.7323794747608,15.6,3.3
1464.955010678419,13.4,3.3
1470.5441611766691,17.9,3.7
1476.4777937718873,9.4,1.9
1463.6141315224086,8.73,3.26
1466.318797876766,13.01,2.26
1469.1137178873314,14.8,1.63
1471.9961339544186,10.47,0.91
1474.963292969604,10.16,0.74
1478.0124536121643,9.94,0.66
1481.1408930673188,7.42,0.46
1484.3459131662314,8.73,0.55
1487.624845953915,7.89,0.51
1490.9750586965486,6.41,0.42
1494.3939583442811,6.45,0.42
1497.8789954693477,6.38,0.37
1501.4276677023597,6.1,0.35
1505.0375226919598,6.14,0.23
1508.7061606147365,6.59,0.16
1512.4312362634291,7.89,0.15
1516.210460742088,9.32,0.15
1520.0416027970539,8.95,0.16
1523.9224898124373,7.63,0.17
1527.851008498282,6.12,0.17
1531.825105298853,5.75,0.23
1535.8427865475098,4.53,0.26
1539.9021183935115,4.56,0.32
1544.0012265248474,3.83,0.35
1548.1382957098544,4.26,1.09
1438.5065685738941,68.0,8.0
1441.3403345349352,60.0,6.0
1444.6513049826237,46.0,4.0
1448.4220364739085,31.0,3.0
1452.6334861743953,24.0,2.0
1457.265368740511,20.0,2.0
1462.2965045196324,13.0,1.0
1467.7051485408301,12.0,1.0
1473.4692922838783,10.0,1.0
1479.5669327693784,9.0,2.0
1434.5316689489775,217.5,97.0
1436.9847701790245,110.3,42.0
1440.22087167068,42.0,20.0
1444.2119159312933,48.3,15.0
1448.9247714229443,10.7,7.0
1454.3222942423827,35.7,8.0
1460.3644126729469,15.8,6.0
1467.0091743226715,10.4,6.0
1474.2137087470412,17.3,12.0
1483.6989112338804,10.0,1.1
1503.2250985991338,6.9,1.0
1516.9726061203,6.0,0.6
1518.8869392479623,8.3,0.9
1518.1196792448454,6.9,0.5
1535.4391127050774,6.1,0.7
1568.470930439054,4.9,0.8
