Ecm,sigma,dsigma
1435.1839483799815,51.93,20.74
1437.2735638789657,23.58,12.9
1439.86278299143,33.87,10.55
1442.937217739201,28.07,6.93
1446.4803574848515,17.13,4.56
1450.4739144118237,13.66,3.44
1454.8981800886527,17.05,3.44
1459.7323794747608,17.01,3.45
1464.955010678419,10.71,2.76
1470.5441611766691,11.86,3.1
1476.4777937718873,8.73,3.11
1482.7339980530112,5.88,3.74
1437.2735638789657,33.7,4.7
1439.86278299143,33.9,3.8
1442.937217739201,28.2,2.7
1446.4803574848515,22.4,2.0
1450.4739144118237,20.2,2.0
1454.8981800886527,17.6,1.7
1459.7323794747608,17.6,1.8
1464.955010678419,16.0,1.7
1470.5441611766691,16.4,2.7
1476.4777937718873,15.5,3.5
1463.6141315224086,13.49,4.24
1466.318797876766,15.05,2.18
1469.1137178873314,15.03,1.49
1471.9961339544186,12.36,1.01
1474.963292969604,13.44,0.86
1478.0124536121643,13.23,0.81
1481.1408930673188,10.2,0.61
1484.3459131662314,12.46,0.72
1487.624845953915,11.16,0.63
1490.9750586965486,10.73,0.6
1494.3939583442811,10.64,0.58
1497.8789954693477,9.85,0.55
1501.4276677023597,10.93,0.53
1505.0375226919598,10.55,0.34
1508.7061606147365,10.37,0.25
1512.4312362634291,12.44,0.23
1516.210460742088,13.85,0.22
1520.0416027970539,13.38,0.22
1523.9224898124373,10.76,0.23
1527.851008498282,10.16,0.24
1531.825105298853,10.12,0.3
1535.8427865475098,7.58,0.36
1539.9021183935115,6.95,0.47
1544.0012265248474,7.68,0.55
1548.1382957098544,11.58,2.14
1438.5065685738941,34.0,5.0
1441.3403345349352,23.0,4.0
1444.6513049826237,26.0,3.0
1448.4220364739085,25.0,3.0
1452.6334861743953,21.0,2.0
1457.265368740511,21.0,2.0
1462.2965045196324,16.0,1.0
1467.7051485408301,13.0,1.0
1473.4692922838783,11.0,1.0
1479.5669327693784,13.0,2.0
1436.9847701790245,27.8,28.0
1440.22087167068,75.8,27.0
1444.2119159312933,20.8,15.0
1448.9247714229443,39.1,11.0
1454.3222942423827,20.6,8.0
1460.3644126729469,18.2,6.0
1467.0091743226715,21.3,7.0
1474.2137087470412,15.3,12.0
1483.6989112338804,13.6,1.4
1503.2250985991338,10.6,1.4
1516.9726061203,11.4,1.0
1518.8869392479623,14.0,1.4
1518.1196792448454,12.5,0.8
1535.4391127050774,8.2,0.9
1568.470930439054,7.5,1.1
