fval,d1,d2,d3,d4,lam,p1,p2
2.34,-0.4504125309046499,0.04871691524507233,-0.10056728859011446,-0.31661791563730024,591.2957445756925,1372.9407166402646 + 0.0im,1441.5204237275284 - 19.19887211462669im
2.9,-0.4841118240395641,0.04610782439707435,-0.09474879169983257,-0.2135672569194585,575.1698513866719,1387.4424856165426 + 0.0im,1437.0765370050585 - 19.652295133444458im
3.2,-0.3861537924758719,0.04587677237615146,-0.10420884077467688,-0.2838811568963214,585.8388379084699,1373.1174126032738 + 0.0im,1436.4463979718353 - 12.406297818238775im
2.49,-0.49916699406855314,0.045187255523716406,-0.04471416028185152,-0.2588314146794958,527.5948249140661,1373.9070189428064 + 0.0im,1450.7949142960172 - 21.09602949898353im
3.8,-0.4960732415045052,0.0463088809934443,-0.09796927263961933,-0.25025768857888164,608.6941249652126,1394.0887973338386 + 0.0im,1433.7869496132919 - 26.91086330765865im
2.45,-0.48643926973211465,0.041508627169219485,-0.06720038632556379,-0.32179688843759696,559.6992022743674,1373.5014965417215 + 0.0im,1452.0237654609814 - 24.209359471123918im
2.55,-0.45546754479834234,0.04440724536955402,0.051862009296647846,-0.3596143862502257,549.612584183639,1396.381322971509 + 0.0im,1454.8894316429398 - 39.77957630061363im
2.77,-0.4244299684178466,0.0480788861480585,-0.07369669542026226,-0.26472336579579864,568.1740468713529,1381.7640170123598 + 0.0im,1438.035114284317 - 17.081724032625154im
2.32,-0.5212324921567907,0.04730460614581639,-0.10145934342396137,-0.33709949121677574,608.1841924438729,1384.552226619841 + 0.0im,1446.5847563397506 - 32.93066667369356im
2.83,-0.5179177421970766,0.048039339294609074,-0.03637710887289347,-0.24697582029569093,570.9680746089622,1395.858860551892 + 0.0im,1442.7157594983696 - 32.99266534785316im
2.4,-0.4625564710182108,0.04216945759179269,-0.06456190353996341,-0.23801521669882358,548.6855704837792,1382.6055052430258 + 0.0im,1443.5748594217764 - 18.86317106074733im
2.49,-0.5115974950611688,0.04666220210875219,-0.07310192696856863,-0.3319210255489326,600.5914996823636,1391.550303752156 + 0.0im,1445.9700766700644 - 36.64220642502286im
2.49,-0.43319174221064893,0.04282473913842026,-0.13516410574963666,-0.3166174224382439,608.4979630281284,1364.3261528176622 + 0.0im,1441.5818537848843 - 14.760190977542052im
5.62,-0.48603796556854506,0.048220735450784244,-0.02475045127659893,-0.1743068824643556,547.7757221250234,1395.4711548200366 + 0.0im,1437.45797615927 - 24.012543413996827im
2.35,-0.4560063805489518,0.04573267466488312,-0.03628057830621865,-0.3891099921003835,576.9303746480372,1384.9020169780927 + 0.0im,1451.0803470689384 - 32.46865537302621im
5.12,-0.47087346615845904,0.04275806460893318,-0.042116322450938055,-0.23288868573959864,595.9412924134782,1397.462805704544 - 9.026010760307767e-7im,1433.253030868009 - 30.620724938059055im
2.52,-0.4176601379890447,0.04430691350062903,-0.07275248116043213,-0.31525967969126156,580.6374949494841,1381.5659423415711 + 0.0im,1440.6670972895306 - 19.50934217113302im
2.34,-0.46088088225572027,0.04752620707653992,-0.04783152002190437,-0.2529515085882502,542.2373563169253,1381.5955581473377 + 0.0im,1444.1095479914468 - 19.79151552020315im
2.32,-0.49463487173689696,0.0464380783314709,-0.08381866573053713,-0.2504136897301433,566.6991784706443,1382.983222943023 + 0.0im,1442.8766521199534 - 21.73081121250592im
2.44,-0.4928668498534009,0.04715007406046947,-0.06005443689098894,-0.352155344983046,595.6808694666166,1390.7176390478426 + 0.0im,1446.8587947226026 - 36.22223845813172im
2.61,-0.39779185399226014,0.04641459604573099,-0.06089666204459315,-0.330066739394568,579.466858345316,1381.894414678748 + 0.0im,1439.6593912784338 - 19.332914435382126im
2.25,-0.44568962832563735,0.04630581886440975,-0.04555088354924993,-0.3370147720036757,563.2315046229515,1380.771121189447 + 0.0im,1446.9180528650763 - 24.219395489236426im
2.76,-0.5166680325723272,0.046601932396248186,-0.048699752021414966,-0.3180286007143086,542.55755330949,1367.997066734151 + 0.0im,1455.2144968189632 - 26.548074718161388im
2.29,-0.47108133206981734,0.047686929628048026,-0.06695779856614542,-0.3789857754536433,594.0335405247107,1382.5110248320163 + 0.0im,1448.0103786646084 - 31.2958810986768im
2.37,-0.3958772732760125,0.043050128767305615,-0.005663958233623603,-0.39502296507870044,549.4956651053177,1378.6110485296488 + 0.0im,1451.0190669463364 - 24.38309496342095im
2.44,-0.4552433104769112,0.04606497894795746,-0.06147442263044301,-0.42249274403879955,592.2937268057752,1373.4014921513492 + 0.0im,1452.8496009418463 - 31.434560897027175im
2.34,-0.48555628403380807,0.04790025271964264,-0.07237055894350579,-0.34957973182448887,574.3116492431384,1371.0085366564908 + 0.0im,1450.1624670522035 - 26.29994102526866im
2.26,-0.4644884177741313,0.04731284876716254,-0.06762971628535651,-0.3012967619597966,569.0584442979929,1381.078827118818 + 0.0im,1444.1535153954642 - 22.66534637728002im
6.34,-0.4405210469465709,0.0439912623089306,-0.03578776990725646,-0.2658804428193854,583.1126042010467,1396.0916968510917 - 3.942933557996638e-7im,1435.650944916241 - 27.214690990529544im
2.41,-0.49367115434064773,0.04550398839641407,-0.07505163702827276,-0.3550414225597598,604.0153901438963,1389.3109064627529 + 0.0im,1446.663005797545 - 35.187787816759396im
2.64,-0.4057459145260907,0.045115716691084405,-0.0856579221407449,-0.31418834880399527,584.7512696083952,1377.0677288947784 + 0.0im,1439.5538200780127 - 16.833640403108614im
2.23,-0.5156898371705306,0.045996405443206906,-0.09405238614648956,-0.2701359940791113,572.5069568496684,1379.5706904477718 + 0.0im,1446.0065561360561 - 23.729783268476947im
2.76,-0.462708195037976,0.04553585767461899,-0.0824958841455899,-0.3480158749954401,614.1200829738257,1390.049377793868 + 0.0im,1440.4769871140836 - 30.104755134339882im
2.64,-0.4994859668976871,0.04690846299478046,-0.0743958625905421,-0.38098542414754233,581.2479486173202,1364.9524728553697 + 0.0im,1454.5781865404438 - 30.693684284958046im
2.33,-0.49813375362367857,0.044896590898893377,-0.09841961068964902,-0.35418554882650854,613.8089485370451,1385.3073088448439 + 0.0im,1446.1656596920727 - 32.242546541836454im
2.25,-0.433201330584151,0.04336171795704192,-0.06416474049483886,-0.3982371228149315,596.6809480792018,1381.0799969363766 + 0.0im,1447.8071879673164 - 28.000239840212167im
5.79,-0.42945736084006003,0.04592310370733062,-0.026427460063222816,-0.2630400983290728,597.2864252771989,1397.4663549018655 + 0.0im,1430.6758546850438 - 29.438352442737887im
2.6,-0.4405387277963585,0.043933208594109,-0.030111419538015036,-0.3325551575610623,579.1716051316673,1392.92437801589 + 0.0im,1443.3033785524085 - 29.927458667384307im
2.79,-0.4378838472455599,0.04616067432351206,-0.12481225390743592,-0.2979266292278613,605.2534304464807,1373.6259444684492 + 0.0im,1438.2264266300617 - 15.762187059606527im
2.59,-0.4837021748174857,0.04214639724637279,-0.04198791846775548,-0.35315245076158897,556.5218211162847,1378.6831359603962 + 0.0im,1455.0834382931637 - 28.738767207717558im
5.42,-0.4589001860626401,0.04422185437715661,-0.06706902304749046,-0.20083226541504404,565.607146115855,1391.6981724693546 + 0.0im,1435.5458252177298 - 19.874394120814117im
3.36,-0.44331856177797235,0.047153554111082276,-0.056968119468311935,-0.2983053660049334,593.0860104876041,1393.3726559316278 + 0.0im,1436.1892015783205 - 26.598024973686112im
2.3,-0.4892085976340148,0.04219401138327188,-0.05532187643643464,-0.32381131171493893,574.7064651750023,1388.0499168874942 + 0.0im,1449.293297908777 - 30.448083529409903im
2.95,-0.4289777595387595,0.04654694829180248,-0.0738142451345441,-0.29848078668017775,588.3853727717669,1387.080567942776 + 0.0im,1437.1600792812267 - 21.108487640979686im
3.42,-0.4908912932883968,0.045512318504444156,-0.05005800598125734,-0.27527703835114975,593.6019066407318,1396.4210332448483 + 0.0im,1439.179288273361 - 33.515242321224854im
2.74,-0.48596809341000335,0.04544752193826811,-0.07335881337118294,-0.2904263081585549,593.3994937098506,1392.1357013650147 + 0.0im,1440.4099735638993 - 28.99138402630078im
2.26,-0.4982696600283272,0.04528649748429279,-0.07577367838974636,-0.28772032777189666,574.119114972558,1384.974866421785 + 0.0im,1445.5231885681574 - 25.946489407305837im
2.42,-0.41870412091918463,0.046907736222909696,-0.015867548711820063,-0.39760287594878263,552.6975026274514,1373.6830405859337 + 0.0im,1451.7403979875487 - 25.55347780805054im
3.48,-0.47162794306986144,0.04568939368624346,-0.073978428692808,-0.32448793815012394,616.7770079499185,1394.8080664037766 + 0.0im,1437.6026261640948 - 33.1749614641321im
3.07,-0.40869800826241043,0.044872552284435076,-0.11026588094601592,-0.2542818908397952,579.245251993185,1373.5783383338805 + 0.0im,1437.1176249770854 - 12.499015820761791im
2.61,-0.5041666937721294,0.04474471321572083,-0.09297415993041526,-0.385638747978783,596.2241257611408,1365.6845006096523 + 0.0im,1454.7820313972727 - 31.197398181340567im
2.28,-0.5142476488548979,0.04366184228455202,-0.12542709180470005,-0.23228796616220337,573.6956318768533,1371.4040819576626 + 0.0im,1444.274989701882 - 18.087141260086693im
3.4,-0.4991027764262529,0.04527750319865603,-0.08369616046854081,-0.2878291592751934,612.0471669640211,1395.0571793154647 + 0.0im,1437.6992688258674 - 32.66030851119989im
2.42,-0.4899756386155513,0.04497145760134848,-0.009126930648403711,-0.33954670641946927,556.6626518979579,1391.584059857827 + 0.0im,1453.4302312982377 - 35.44797832849853im
3.39,-0.4194509437864717,0.0466262830772101,-0.056857329248146495,-0.32690212111641964,598.6976295080547,1392.1115287428372 + 0.0im,1435.9736064854299 - 25.584010088992898im
2.34,-0.44008703702803387,0.04505030161104259,-0.0733522048981218,-0.29808391210998486,569.2654543931582,1378.55239384965 + 0.0im,1442.9599819108666 - 19.48723556097891im
2.24,-0.44047424528877316,0.0454272357588601,-0.06916979621375877,-0.33391367510436554,569.6005484055751,1372.275201399419 + 0.0im,1446.3044681102522 - 20.784699904525418im
2.46,-0.49965643504261353,0.045572892831563266,-0.1007862126554094,-0.24922550108166336,582.7816512626042,1385.0564591757498 + 0.0im,1440.631950612532 - 22.215211484151357im
2.38,-0.4677164494963931,0.04431717958157702,-0.08999750597492637,-0.2541918089335582,566.8242780224238,1379.0437944532498 + 0.0im,1442.2474630077588 - 18.512183454043917im
2.28,-0.5042887635494038,0.04858777640662385,-0.05519261392326118,-0.30580692880494903,568.0614587432093,1386.5943241290252 + 0.0im,1447.5099017317452 - 29.581214675840016im
3.41,-0.5141667350459954,0.046475617610958996,-0.08347489066391643,-0.30305447237978245,619.436211578351,1395.7901430407874 + 0.0im,1439.0760638123768 - 37.65112463301114im
2.3,-0.49694992435865004,0.045959525996223695,-0.0756105610539591,-0.2811101208339276,556.0610162336287,1373.7698520964502 + 0.0im,1448.1870914525387 - 21.98519267635568im
2.26,-0.43320783828244813,0.04993529446403431,-0.05046661177564864,-0.4146752573405809,589.3311196260156,1377.2937628347906 + 0.0im,1447.8998571710938 - 29.00759180801544im
2.58,-0.5470581474186955,0.045798959272005176,-0.03488005989132551,-0.3061755420696722,554.104342610341,1389.2149947506073 + 0.0im,1456.1983708812631 - 36.60663641177464im
2.64,-0.45750839514339636,0.04728685576360047,-0.05026223306173991,-0.3662268867965992,600.6532780526782,1392.161899983091 + 0.0im,1443.3402280136663 - 34.4371554887123im
2.49,-0.5012743322080726,0.04594848173695172,-0.04171924991802359,-0.34635408324103745,586.5013284787485,1393.1221252546843 + 0.0im,1449.6693892271192 - 39.484829443616086im
2.47,-0.3505012054430706,0.04756834821809878,-0.02019794767934535,-0.37598537722189224,565.9229214173164,1381.6150719569614 + 0.0im,1441.324931593539 - 19.82041454114907im
2.5,-0.47980968242420696,0.04420716146451564,-0.032266203951116346,-0.357979855969325,585.8954810773247,1393.5507451805208 + 0.0im,1449.4673320142952 - 38.54332181174513im
2.35,-0.4461780503973704,0.04729426718847315,0.01707278676972257,-0.3184426531812493,526.6974656151892,1386.8004617798306 + 0.0im,1450.5482691808957 - 25.802625800356477im
2.41,-0.4636086799730776,0.045094696005905516,-0.0679910181933965,-0.39347088499733707,584.2169143710997,1370.2965496326433 + 0.0im,1452.3262026382467 - 28.132534788287302im
2.62,-0.45580629302478654,0.04652740928875917,-0.09139703101931755,-0.2975517353534319,592.7849709988042,1384.0094846865813 + 0.0im,1439.2325822503801 - 21.59713315785169im
2.38,-0.48894562816358184,0.04487998222279663,-0.09212103222501777,-0.310592688953062,597.8841196768902,1386.370239588284 + 0.0im,1442.963747813565 - 27.100895892506085im
2.57,-0.4457356004270828,0.04581827358406797,-0.11697778295374127,-0.28952324034042815,594.8126594683032,1373.6085855583078 + 0.0im,1439.6529150562367 - 16.456328424350517im
2.74,-0.45084145902736655,0.048062756341143965,-0.005502697165958706,-0.2894407968319851,560.5720375963845,1394.8006628394364 + 0.0im,1442.12078496955 - 29.27827241185367im
2.69,-0.44032495361811014,0.04703898118245428,-0.017239889661366754,-0.4158746681209189,554.8265390879799,1369.8307051293414 + 0.0im,1455.52491094117 - 29.03118897207018im
