i,fval,d1,d2,d3,d4,lam,p11,p1,p2
1,2.68,-0.44831639186756805,0.04827793952424791,0.019214781184811396,-0.37091356270950865,541.1013034035414,1375.3730198609278 - 55.88749317165699im,1388.1496766716082 + 0.0im,1453.3160232619068 - 31.698586511040467im
2,2.86,-0.5481090013462716,0.0399578591294972,-0.09244074629467716,-0.2572936503460798,560.8668672629882,1371.1537588983942 - 61.59461067198512im,1379.4893444123375 + 0.0im,1451.8999620522359 - 25.586621708584943im
3,2.68,-0.5787241208718122,0.034167171787911024,-0.08824811340419912,-0.18605685794999388,568.0514559859702,1374.2878844772772 - 45.273140240565084im,1393.595881437487 + 0.0im,1448.192792981665 - 29.760105278911805im
4,3.86,-0.6756326389565319,0.017502293228775015,-0.07893721828050465,-0.15534095181042984,522.23430500446,1376.628837599881 - 49.56842594909902im,1388.9231843674922 + 0.0im,1470.2806026353078 - 29.641202350618414im
6,3.62,-0.5180329986752011,0.05421113195278847,-0.07036042001492193,-0.20835435289019227,577.26684693128,1373.0503326935848 - 47.27510756263802im,1394.1091141837783 + 0.0im,1435.3317774108316 - 26.688003280314682im
7,2.97,-0.27196953730407025,0.02728966236066696,0.08380885412429864,-0.5563778126833726,554.70189349052,1373.8045593573825 - 53.893433701343916im,1390.0283574532157 + 0.0im,1461.2614887481616 - 32.75297198540112im
14,3.08,-0.5985036283967231,0.04670547947274581,-0.08214168819732352,-0.23847799680702889,544.4362888320906,1373.4051978849536 - 63.43337443624525im,1376.696894382803 + 0.0im,1455.066853473237 - 28.53532736139342im
17,2.69,-0.2781818594512147,0.041200562808265166,0.04056750536446737,-0.5276159073956783,573.9704010093935,1370.241611625255 - 59.956506536099134im,1385.6145883476754 + 0.0im,1449.1401941586023 - 28.14743101110777im
18,3.05,-0.7212542766358041,0.01279286614186137,-0.15701073014456754,-0.015173631540931265,539.2478265901968,1373.9825851105036 - 45.410921805380916im,1390.8690611187533 + 0.0im,1456.6370688366765 - 23.792803495075546im
19,4.04,-0.2985877714027354,0.019120913011240186,0.058321053267440005,-0.5616607008133461,542.7089711527794,1371.7675834514553 - 63.564819621247096im,1377.515747141356 + 0.0im,1470.6941680999894 - 27.61917703065512im
20,2.87,-0.4277229050623003,0.04186024486563512,-0.028785857594345057,-0.30128742751871995,562.6304659245421,1372.147929909833 - 50.82896050165857im,1390.6735104637987 + 0.0im,1442.8347746667243 - 24.451665229909786im
21,2.93,-0.4988389153252749,-0.00176863964597513,-0.04142189433919319,-0.3014547851386829,577.6067311309133,1374.2127777009805 - 31.636145194371437im,1396.4184358760238 + 0.0im,1469.7373952613543 - 35.08833189851574im
22,2.97,-0.7316783785886263,0.0756371596535665,-0.17267040468161235,0.008818535143540973,550.1769536696379,1371.2711975132654 - 60.94641045833787im,1379.8504729969716 + 0.0im,1435.233594446489 - 20.12555732961929im
