i,fval,d1,d2,d3,d4,lam,p11,p22,p1,p2
3,2.33,-0.4425222629405739,0.03243323518095651,-0.064734908050055,-0.36132712497351055,596.5162215743704,1369.9974812100193 - 54.7639269854782im,1448.7897222753772 - 17.830274787485028im,1389.376443370641 + 0.0im,1448.8674267103052 - 29.40135226091357im
6,2.6,-0.5253594347120647,0.03753086153775198,-0.059444425176652924,-0.25375490221451974,580.3370641284571,1374.8867613050725 - 42.856776627902505im,1446.8672697903355 - 23.787847832999866im,1395.2825009731891 + 0.0im,1446.4638927194596 - 33.31361195510403im
10,2.91,-0.4242923065780869,-0.009900079972991915,-0.06581316167986001,-0.390644132835819,595.8737378887208,1370.835425345158 - 45.85509779009613im,1461.6236189185345 - 18.351349153225666im,1392.1789273086426 + 0.0im,1473.4214390499174 - 27.295685274086697im
11,2.37,-0.5102641175577151,0.06696085050885908,-0.01006943044301084,-0.2785137585396184,545.7471791067127,1375.759408573338 - 54.87245360212478im,1447.7042937803517 - 22.030344133540847im,1390.141807260902 + 0.0im,1442.8733327194604 - 30.40386845924192im
12,2.26,-0.5276242198778389,0.05608145847929982,-0.04303732973120889,-0.25290202768248965,546.7595951498158,1373.9527229267949 - 57.07772134492601im,1451.1104617462058 - 19.398505210795232im,1386.4808496125922 - 1.5139334503314582e-7im,1445.7000083937967 - 27.22509070874256im
14,2.46,-0.5410864990305027,0.062177791199425916,-0.06688156666788729,-0.3147325372039844,586.6385217964088,1372.9329654884414 - 61.012467341645376im,1445.7244270100146 - 21.793720976032883im,1388.517695442343 + 0.0im,1442.5277010209052 - 36.057540957687124im
16,2.64,-0.48543508876834335,0.03248904883910956,-0.03952776873246237,-0.32561867557716595,549.8630936258573,1373.031293618025 - 58.17446651421156im,1459.036891760239 - 18.605717044238247im,1383.9278759207698 + 0.0im,1456.9334876128953 - 27.51792550798669im
19,3.69,-0.42149477032632743,0.04435395531116491,-0.09875271703204563,-0.3050028327316492,611.4410471936737,1364.9918595101085 - 55.21912680843432im,1439.493210364062 - 11.237928836499119im,1387.210478226492 + 0.0im,1433.9869068532853 - 19.613155738176737im
24,2.22,-0.504416788401161,0.05891746865832698,-0.06930708875117997,-0.2717948611260533,558.89687443366,1370.0775370150216 - 63.77176928091689im,1449.837641067094 - 15.334676288539411im,1376.459639516686 + 0.0im,1442.9642582638226 - 22.86423627933003im
33,2.42,-0.42323014367539125,0.030602364613638765,-0.007169136154683668,-0.3603196081468267,551.3051030369863,1373.286033598097 - 53.34201411478463im,1456.1869552389155 - 19.217488063354494im,1388.5302016141545 + 0.0im,1454.2636523723004 - 27.36304092441431im
35,2.62,-0.4161302095409025,0.019721799265884972,-0.039438923685956515,-0.3200286053277477,546.9473943649854,1370.9005574855953 - 55.62488361070075im,1457.3651805166733 - 14.298489862611998im,1383.7974925312699 + 0.0im,1453.5427137519523 - 20.56718894434385im
37,2.48,-0.4764352590294227,0.05373537373024954,-0.01860279184545016,-0.3929961005216699,565.2502639795704,1373.6700662174283 - 62.996155119910455im,1453.4404237338667 - 22.544076787416966im,1384.0152818061003 + 0.0im,1452.081625824159 - 35.75759863065228im
43,2.42,-0.47686390628431574,0.0642349268886708,-0.020925048874491613,-0.2879947964706582,552.5485398680148,1373.5387163437895 - 56.63070655186244im,1446.3921572695554 - 18.809368154454834im,1388.16579346668 + 0.0im,1440.5023391217437 - 26.729289478459027im
46,2.62,-0.5956805361062382,0.015954950267191615,-0.10082084447449755,-0.2347528271642798,585.1517370055939,1374.7300074129857 - 42.73768322390182im,1459.1379442102689 - 25.64892830517841im,1394.5277357863172 + 0.0im,1463.8147642882964 - 37.78289412001498im
48,2.61,-0.48815192339968383,0.03892359188921739,-0.05247245633006295,-0.3292251545706578,552.5273640633797,1371.4066452749041 - 63.27145914000576im,1458.0919476229117 - 16.869371217101577im,1376.5699483317344 + 0.0im,1454.8309495576932 - 25.83875418759703im
52,3.18,-0.4189349280180273,0.05880484664278799,-0.04875988875571997,-0.32088287201162724,584.2887521678044,1369.0810519962201 - 57.09140051133633im,1440.7053645586043 - 14.396823530400047im,1387.79244999625 + 0.0im,1434.3723134872816 - 22.793881585553827im
53,2.37,-0.401868208114739,0.05112079901919777,-0.017483232464924177,-0.3605328077888351,564.8889061946918,1370.9774523593994 - 58.095056507112325im,1447.5477565368565 - 16.514057778603203im,1385.8815588746447 + 0.0im,1442.698335061611 - 24.676746956842962im
54,2.97,-0.5491643753327132,0.06316191546850108,-0.039852148505679065,-0.24987645403676406,574.1375229432227,1377.4654357552424 - 46.40288489749864im,1441.0084638382657 - 25.99831056402211im,1395.6466621907543 + 0.0im,1439.706373592166 - 36.44065140699955im
59,2.91,-0.47808615931955883,0.022566765377484074,-0.07022351708048946,-0.336433897426545,561.783873832005,1370.52647298427 - 61.188077606199585im,1460.6138691936387 - 15.521905736595917im,1378.882756903939 + 0.0im,1459.7689908312495 - 24.56026026662425im
60,3.31,-0.47993472371967666,-0.022333646714361326,-0.06217745052148704,-0.3226885561825004,577.4646523742136,1372.6749434125145 - 36.53153166630013im,1468.8031649021261 - 19.761711633936542im,1394.8439734700594 + 0.0im,1480.8294782813323 - 25.486991816683595im
61,2.4,-0.4927806423812078,0.057256283785281845,-0.021715988684680984,-0.3552822869024454,554.5698978662947,1373.6564041985264 - 63.18815717033797im,1453.6089976705093 - 21.193739356096042im,1382.0490017280986 + 0.0im,1450.2111055049093 - 32.20805614144245im
81,2.48,-0.4666159375680482,0.04075917539005948,-0.023650304707980047,-0.34395521665072204,578.9555674248217,1375.1984051707252 - 47.58595038479345im,1447.9634816396235 - 24.508283613323268im,1394.201853673085 + 0.0im,1449.0850248755123 - 35.68509229669974im
