redχsq,d1,d2,d3,d4,lam,pB,repL,impL,repH,impH,pB_g11,pB_g22,pL_g11,pL_g22,pH_g11,pH_g22
7.38,-0.914868756292773,0.0240865754402061,-0.4961024898800458,-0.0093421812801779,883.830199820389,NaN,1389.15,-0.0,1432.58,-5.24,NaN,NaN,2.51,0.75,0.86,3.91
2.36,0.2082410231868132,0.0232791467346894,0.237799778933667,-1.1224960950594074,636.5866004857473,NaN,1386.49,0.0,1454.99,-18.23,NaN,NaN,3.34,2.0,1.59,3.18
4.08,-0.7389551761287602,0.0245014413634062,-0.2779807287849704,-0.1867101597072498,724.7739089838643,NaN,1395.53,0.0,1444.38,-22.69,NaN,NaN,1.78,1.56,1.8,3.66
5.46,-0.0425343662597354,0.0239319495451574,-0.006975710491657,-0.816237761079458,744.8719458579358,NaN,1384.97,-0.0,1436.84,-8.51,NaN,NaN,3.19,1.32,1.1,3.54
3.31,-0.44461954076264,0.0235031676790105,-0.0924526907720044,-0.4495367188049957,659.3861770377272,NaN,1393.76,0.0,1448.49,-21.17,NaN,NaN,2.2,1.73,1.73,3.43
2.57,-0.5037152341138662,0.024805962147529,-0.1538419819061041,-0.4845725290274313,721.5690715789403,NaN,1391.4,0.0,1458.35,-22.52,NaN,NaN,2.58,1.78,1.83,3.46
2.46,0.0809190222246738,0.0235377223907209,0.0868716256483397,-1.072198961449006,780.5104018370289,NaN,1388.55,0.0,1455.51,-16.69,NaN,NaN,2.85,1.57,1.51,3.31
6.77,0.2034344189515137,0.0253228236495346,0.0269271234158216,-1.0189592218958772,770.2887134343277,NaN,1364.26,0.0,1440.77,-0.58,NaN,NaN,4.76,0.71,0.26,3.26
5.37,-0.5251582948814502,0.023236867482562,-0.3147842056059238,-0.3620793630188881,831.7892352498102,NaN,1380.26,0.0,1439.54,-2.59,NaN,NaN,3.19,0.15,0.57,3.46
4.38,0.7541611665839104,0.0233709789865465,0.4020790674057576,-1.6417024568151437,751.8262235246114,NaN,1387.06,0.0,1439.65,-10.87,NaN,NaN,3.01,1.46,1.23,3.53
2.4,-0.2804670304695451,0.0236417991417008,-0.0553548342350741,-0.6583337141773922,699.4796009788697,NaN,1386.99,0.0,1452.46,-17.22,NaN,NaN,3.17,1.82,1.54,3.28
4.8,-0.2143229943693927,0.0234045696846399,-0.0040081135757153,-0.7401285927668982,747.7356523819358,NaN,1397.48,-0.0,1447.03,-29.48,NaN,NaN,0.76,0.81,2.02,3.82
2.65,0.2956830837125191,0.0241141988256562,0.1194900019910426,-1.2238908435788396,797.1165461865747,NaN,1371.35,-0.0,1451.19,-4.45,NaN,NaN,4.11,0.37,0.71,2.93
2.32,0.1008916791949238,0.0244278182119391,0.1745384923748217,-1.0604296346491964,661.221266585762,NaN,1385.66,-0.0,1459.04,-19.29,NaN,NaN,3.44,2.02,1.68,3.21
5.55,-1.1803853602803076,0.0227563583985756,-0.7993056067737302,0.3291559848676886,875.8183695339314,NaN,1366.75,-0.0,1462.94,-3.86,NaN,NaN,3.82,2.81,0.64,2.1
4.09,-0.2995618729432283,0.0233269871473147,-0.03745374623831,-0.5339630300767594,643.1288075841693,NaN,1390.93,-0.0,1443.17,-16.03,NaN,NaN,2.68,1.83,1.51,3.39
2.49,-0.9857246867215256,0.0222553361188779,-0.4287923671099623,0.0972482430136562,674.840253017978,NaN,1375.84,-0.0,1450.45,-11.4,NaN,NaN,4.54,1.68,1.21,3.06
2.26,-0.2886775553579803,0.0231655840842433,-0.0724490122768348,-0.6507946922706282,700.8595748737391,NaN,1381.86,-0.0,1453.75,-14.58,NaN,NaN,3.76,1.76,1.39,3.13
2.61,0.0611369930738454,0.0229959280024398,0.0261436886904993,-0.9641688070778066,742.0344332161824,NaN,1365.13,0.0,1451.01,-5.71,NaN,NaN,5.4,0.68,0.81,2.9
6.3,-0.270705115155109,0.0235383963650843,-0.1901420792471294,-0.6269442215544844,857.2548104334429,NaN,1383.46,-0.0,1436.91,-2.6,NaN,NaN,2.91,0.18,0.58,3.62
3.66,-0.9368482044894983,0.0254876528428759,-0.2660301836841803,-0.0475250727545252,660.4903461886074,NaN,1397.55,-0.0,1466.32,-35.82,NaN,NaN,0.6,0.61,2.33,3.79
7.17,-0.4789769794144531,0.0249198754641665,-0.3416558672836999,-0.5014072475379892,967.8194398972316,NaN,1382.24,0.0,1459.09,0.15,NaN,NaN,2.69,0.83,0.12,2.43
2.44,0.2859328513104725,0.0250072816383309,0.1507336535614158,-1.2217099582499933,743.5628887773992,NaN,1362.49,-0.0,1454.28,-6.84,NaN,NaN,6.1,0.87,0.89,2.79
2.34,-0.4992051788095349,0.0235012798804293,-0.1305694000222744,-0.4107307195457659,642.6229746377379,NaN,1383.65,-0.0,1454.05,-16.6,NaN,NaN,3.71,2.01,1.51,3.14
4.07,-0.1829364720564732,0.0246805186934952,-0.0859392260221086,-0.6639052162313324,717.4885460512206,NaN,1372.63,0.0,1442.49,-6.06,NaN,NaN,4.48,0.94,0.88,3.23
2.44,-0.1214431105840671,0.0242783323459458,0.016921448489007,-0.7632817007952528,654.4696913965092,NaN,1371.27,0.0,1451.34,-11.56,NaN,NaN,5.51,1.91,1.22,3.02
2.65,0.1241301292658877,0.0235158070887819,0.0243137542274353,-1.0839455320687628,851.638121226157,NaN,1378.75,-0.0,1452.3,-4.58,NaN,NaN,3.32,0.37,0.71,2.95
2.3,-0.6400972570386665,0.0233058450154092,-0.278019728759338,-0.3178778677899986,732.6992806379347,NaN,1375.88,-0.0,1455.75,-11.36,NaN,NaN,4.27,1.46,1.2,2.94
2.48,0.143730914687616,0.0226917422868175,0.0686356378676948,-1.1341027072800067,855.9268937747959,NaN,1387.87,0.0,1452.03,-11.04,NaN,NaN,2.74,1.11,1.17,3.25
3.56,0.3892392194133875,0.0228420609933018,0.2124007732602831,-1.3147717405457429,787.5640166807268,NaN,1388.61,0.0,1442.31,-11.99,NaN,NaN,2.79,1.42,1.28,3.54
3.4,-0.8160405037821725,0.0246698291718266,-0.3070981529912255,-0.0477253502163733,656.8954284333162,NaN,1388.26,0.0,1445.37,-15.7,NaN,NaN,3.06,1.87,1.48,3.35
3.43,-0.213881888580477,0.0239154359621565,-0.0577660576064237,-0.6432198613701089,686.5006450029084,NaN,1379.52,0.0,1444.25,-10.23,NaN,NaN,3.96,1.54,1.17,3.26
